name,birth,position,height,weight,start_year,end_year,career,games,goals,assist,birth_month
김신영,1958/07/29,MF,NA,NA,1986,1986,1,16,0,2,7
박연혁,1960/04/25,GK,NA,NA,1986,1986,1,9,0,0,4
송태철,1961/11/12,DF,NA,NA,1986,1986,1,6,0,0,11
김태영,1962/01/13,FW,180,74,1986,1986,1,3,0,0,1
심규선,1962/01/14,FW,NA,NA,1986,1986,1,22,1,1,1
정동복,1962/01/22,FW,168,69,1986,1992,7,91,9,5,1
방인웅,1962/01/31,DF,174,67,1986,1995,8,128,1,2,1
노수진,1962/02/10,FW,177,71,1986,1993,8,136,45,19,2
박희원,1962/03/06,FW,NA,NA,1986,1986,1,1,0,0,3
최윤겸,1962/04/21,NA,NA,85,1986,1992,7,162,5,1,4
안기철,1962/04/24,FW,173,68,1986,1989,4,85,4,6,4
윤성효,1962/05/18,NA,170,65,1986,2000,14,311,23,14,5
박양하,1962/05/28,MF,171,66,1986,1990,5,49,2,9,5
김학범,1962/06/07,MF,NA,NA,1986,1986,1,1,0,0,6
여범규,1962/06/24,MF,174,68,1986,1992,7,141,11,8,6
남기영,1962/07/10,DF,182,72,1986,1992,7,145,1,1,7
송시영,1962/08/15,FW,NA,NA,1986,1986,1,2,0,0,8
곽창규,1962/09/01,MF,169,59,1986,1991,6,74,1,3,9
호성호,1962/11/04,GK,187,85,1986,1989,4,38,0,0,11
정웅일,1962/11/05,DF,NA,NA,1986,1986,1,4,0,0,11
이화열,1962/11/20,MF,176,75,1986,1989,2,14,2,0,11
김봉성,1962/11/28,FW,177,70,1986,1989,3,25,0,0,11
한길동,1963/01/15,DF,173,65,1986,1987,2,36,0,3,1
홍주영,1963/01/25,DF,NA,NA,1986,1986,1,3,0,0,1
김삼수,1963/02/08,MF,169,67,1986,1994,9,188,10,10,2
전영수,1963/02/19,FW,178,75,1986,1991,4,43,3,9,2
이병기,1963/02/22,FW,167,62,1986,1988,2,19,0,1,2
김성수,1963/03/12,GK,NA,NA,1986,1986,1,16,0,0,3
강태식,1963/03/15,DF,174,68,1986,1989,4,100,3,10,3
함현기,1963/04/26,FW,170,65,1986,1992,8,161,31,13,4
이강욱,1963/05/07,FW,NA,NA,1986,1986,1,5,0,0,5
차광식,1963/05/09,DF,178,70,1986,1992,6,120,2,3,5
유동관,1963/05/12,MF,176,68,1986,1995,10,207,5,4,5
김종석,1963/05/31,DF,178,65,1986,1987,2,34,0,0,5
차상광,1963/05/31,GK,189,79,1986,1997,12,226,0,0,5
최광지,1963/06/05,FW,185,75,1986,1990,4,21,2,0,6
조민국,1963/07/05,DF,182,79,1986,1992,7,139,15,11,7
이종화,1963/07/20,DF,179,70,1986,1996,10,191,9,3,7
이영진,1963/10/27,NA,171,65,1986,1997,11,220,11,28,10
김정은,1963/11/27,FW,NA,NA,1986,1986,1,10,0,0,11
김준현,1964/01/20,FW,177,73,1986,1992,7,128,12,16,1
손형선,1964/02/22,DF,184,80,1986,1993,8,182,8,6,2
박공재,1964/03/06,DF,NA,NA,1986,1986,1,4,0,0,3
구상범,1964/06/15,DF,175,70,1986,1995,10,198,16,20,6
김해년,1964/07/05,DF,NA,NA,1986,1986,1,8,0,0,7
최용길,1965/03/15,FW,NA,NA,1986,1986,1,12,1,0,3
서지원,1967/09/15,FW,NA,NA,1986,1986,1,1,0,0,9
구한식,1962/04/08,FW,175,72,1987,1987,1,3,0,0,4
이태형,1963/06/04,MF,173,64,1987,1990,4,64,5,1,6
이칠성,1963/08/25,FW,173,72,1987,1989,3,27,4,4,8
임성근,1963/10/01,MF,170,62,1987,1987,1,11,1,0,10
황영우,1964/02/20,MF,176,71,1987,1993,7,111,15,7,2
유병옥,1964/03/02,DF,177,73,1987,1995,9,183,0,4,3
김홍운,1964/03/21,FW,189,82,1987,1993,8,93,13,7,3
박현용,1964/04/06,DF,178,74,1987,1995,9,198,17,4,4
장정,1964/05/05,DF,NA,NA,1987,1988,2,33,0,0,5
신연호,1964/05/08,FW,176,70,1987,1994,8,170,12,7,5
